Afrikaans,af,1252
Albanian,sq,1250
Basque,eu,1252
Bosnian,bs,1250
Bulgarian,bg,1251
Catalan,ca,1252
Chinese (Simp),zh-cn,936
Chinese (Trad),zh-tw,950
Croatian,hr,1250
Czech,cs,1250
Danish,da,1252
Dutch,nl,1252
English,en,1252
Estonian,et,1257
Faroese,fo,1252
Farsi,fa,1256
Finnish,fi,1252
French,fr,1252
Galician,gl,1252
German,ge,1252
Greek,el,1253
Hebrew,he,1255
Hungarian,hu,1250
Icelandic,is,1252
Irish,ga,1252
Italian,it,1252
Japanese,ja,932
Korean,ko,949
Latvian,lv,1257
Lithuanian,lt,1257
Macedonian,mk,1251
Norwegian,no,1252
Polish,pl,1250
Portuguese,pt,1252
Romanian,ro,1250
Russian,ru,1251
Scottish,gd,1252
Serbian,sr,1250
Slovak,sk,1250
Slovene,sl,1250
Spanish,es,1252
Swedish,sv,1252
Thai,th,874
Turkish,tr,1254
Ukrainian,uk,1251
Vietnamese,vi,1258
